pid,bin,iin,inn,unp,regdate,crdate,index_date,number_reg,series,name_ru,name_kz,full_name_ru,full_name_kz,country_code,customer,organizer,mark_national_company,ref_kopf_code,mark_assoc_with_disab,system_id,supplier,type_supplier,krp_code,oked_list,kse_code,mark_world_company,mark_state_monopoly,mark_natural_monopoly,mark_patronymic_producer,mark_patronymic_supplyer,mark_small_employer,is_single_org,email,phone,website,last_update_date,qvazi,year,mark_resident
37,704085179942,712553654115,684050706162,666796017853,2025-07-06,2023-04-01,2023-09-22 22:51:39,47844,конструкция,"ИП «Брагин, Маркова и Гусев»",Гришина Групп,Куликова Лимитед,Квадра,UZ,1,1,1,144,1,3,1,1,930,парень,800,0,1,0,1,0,1,0,gkrasilnikov@example.org,8 (821) 000-4944,http://noskov.org/,2024-11-13 13:03:58,1,2004,0
38,476911438293,670576777981,102869257221,522943286956,2023-09-05,2025-07-15,2025-08-24 22:55:34,36497,отдел,"ОАО «Шестаков, Наумов и Смирнов»",РАО «Лыткин»,"АО «Пахомова, Тетерина и Буров»","АО «Харитонова, Артемьев и Молчанов»",KG,1,1,1,560,1,3,0,2,332,инструкция,361,0,1,1,0,1,1,0,evgenitretjakov@example.net,+7 265 376 2943,http://www.rao.edu/,2024-03-01 16:00:46,1,2006,0
39,249979960934,336978487751,119109380373,979969724895,2024-08-07,2023-04-11,2023-09-11 04:51:42,42283,магазин,НПО «Якушева»,ООО «Суворова»,ООО «Попова-Авдеева»,ООО «Шубин Маслов»,KG,0,0,1,254,0,3,0,1,588,кидать,399,0,0,0,0,1,1,1,kopilovanatalja@example.org,8 183 095 5791,http://www.oao.org/,2022-11-29 17:22:37,0,2009,1
40,368638596420,859457680017,807620333855,521034542873,2023-06-22,2023-09-20,2023-07-13 02:50:59,14926,сынок,"ИП «Архипов, Горбунова и Лихачев»",Федотов Лтд,ЗАО «Лазарев Пономарева»,ОАО «Логинова-Петров»,RU,1,1,1,497,0,3,0,2,180,приличный,674,1,1,1,0,1,1,0,koshelevfedot@example.net,+7 (807) 330-20-17,https://ooo.com/,2024-09-08 13:53:01,0,2013,1
41,588398309125,324805776591,586498601697,973918287727,2024-12-26,2023-11-25,2023-12-27 06:45:47,23907,порог,РАО «Устинова-Воробьева»,СБСВ-Ключавто,Кари,ДК Рус,KZ,0,0,0,636,0,3,1,1,567,изредка,872,0,0,0,1,0,0,1,djachkovaivanna@example.org,8 (821) 052-0729,http://zao.net/,2024-05-26 02:48:52,1,2021,0
42,903272156504,577022799090,141602445783,736472654396,2023-06-17,2025-11-01,2024-04-16 16:18:42,37763,непривычный,"АО «Кулагина, Голубев и Зимин»",ЗАО «Владимирова Наумова»,Р-Фарм,"ОАО «Калашников, Веселов и Назаров»",UZ,0,1,0,58,1,3,1,1,26,демократия,162,1,1,1,1,1,1,0,modest_2016@example.net,8 730 300 7748,https://www.birjukova.info/,2024-02-21 20:25:15,0,2020,1
43,885980129116,710481520047,921490770049,491715327981,2023-07-08,2025-01-24,2025-08-21 07:47:13,69857,подземный,"НПО «Медведева, Сорокина и Лобанов»",ООО «Данилов»,ИП «Зиновьева»,"РАО «Кононов, Тимофеев и Большакова»",KZ,1,1,0,447,1,3,1,1,902,успокоиться,662,0,1,1,0,0,1,0,ponomarevfilimon@example.com,+7 413 523 9500,http://ip.ru/,2025-05-26 07:35:17,0,2017,1
44,164315599223,351940832095,167106303911,824983329034,2023-02-25,2023-12-05,2023-05-31 02:39:44,38191,костер,РАО «Ильина Красильников»,АО «Шашкова»,Октоблу (Decathlon),Автодом,UZ,0,0,1,504,0,3,0,2,558,о,926,0,0,1,0,0,1,0,gennadisimonov@example.com,+7 (758) 119-2862,https://ooo.edu/,2023-08-29 14:05:11,1,2010,0
45,359142734077,709127752008,902009200166,519090571180,2025-03-24,2023-01-23,2023-08-28 11:37:27,17187,песня,РАО «Якушева-Котова»,КМР и СНГ (KIA),Лукина Лтд,РАО «Харитонов Осипова»,KZ,0,0,1,926,0,3,0,2,45,разводить,982,0,1,1,1,1,0,0,vsevolod_45@example.net,+7 254 547 16 17,https://www.ip.net/,2023-04-18 06:00:41,1,2015,0
46,771828144808,576140727924,664178523822,996987045376,2025-10-05,2023-01-08,2023-11-25 16:29:16,99126,да,АО «Бирюков»,РАО «Блохин Матвеев»,Самойлова и партнеры,Кондратьева Инк,RU,1,0,0,396,0,3,0,1,925,естественный,50,1,0,1,0,0,1,1,gennadi1984@example.org,8 (131) 153-78-45,https://www.ershov.ru/,2024-07-01 06:11:58,1,2018,1
47,565865644710,864413359551,136819008819,128977142398,2025-09-23,2025-11-10,2022-12-04 18:20:09,99210,услать,РАО «Панова-Зыков»,ИП «Поляков-Константинова»,РАО «Константинова-Лукин»,ЗАО «Соколов Титов»,UZ,0,1,0,444,0,3,1,3,247,исследование,253,0,1,0,0,0,0,1,vikentimishin@example.org,80686935731,http://www.ip.com/,2024-03-21 20:18:14,1,2013,0
48,714063346949,991913270345,895140886545,923964335565,2024-02-21,2023-09-02,2025-09-08 21:03:15,62315,народ,ЗАО «Аксенов»,ВО Промсырьеимпорт,Потапова Инк,"РАО «Калинина, Соловьев и Степанова»",RU,1,0,1,69,1,3,0,2,658,гулять,325,0,1,0,0,0,1,1,samson68@example.com,+7 (273) 505-1124,https://ooo.com/,2023-11-01 23:06:41,1,2004,1
49,184956008465,867051312242,345300981915,724088772992,2024-10-27,2025-10-19,2023-01-11 06:29:37,11955,скрытый,ЗАО «Архипов Субботин»,Пермэнергосбыт,Восток-Запад,АО «Лыткин»,RU,1,1,0,369,0,3,0,2,932,расстройство,607,0,1,0,0,1,0,0,evdokimovermil@example.net,8 978 262 94 44,http://npo.info/,2024-10-13 20:20:17,1,2016,1
50,769544940174,423095593906,624129319364,112693820017,2023-03-16,2024-04-01,2023-03-11 06:22:03,20055,ученый,АО «Боброва-Петухов»,РАО «Иванов-Копылов»,"ЗАО «Белоусов, Щукин и Молчанова»",Мухин и партнеры,RU,0,0,0,152,0,3,1,3,941,затянуться,544,0,0,1,0,1,1,1,simon34@example.org,8 425 878 52 90,http://rao.com/,2025-09-21 03:07:29,0,2012,0
51,717165488837,801042984223,904651997120,601426556408,2024-03-03,2024-08-23,2025-05-21 06:03:37,54844,единый,РАО «Мельникова»,ЗАО «Харитонова Зайцева»,"АО «Лукин, Вишняков и Сорокин»",Сибуглемет,KZ,0,0,0,657,1,3,0,1,382,отъезд,783,0,0,1,0,1,1,1,sofronlapin@example.org,+70578771316,https://aston.edu/,2025-10-29 08:54:50,0,2001,0
52,553052903999,577598835724,621527977287,485785966104,2025-08-27,2023-05-22,2023-03-23 09:51:50,37289,инструкция,НПО «Власов»,ЗАО «Пономарева»,"НПО «Быков, Молчанов и Брагин»",РАО «Гущина-Марков»,KZ,1,1,0,934,1,3,0,1,490,правый,504,0,0,1,0,1,0,0,popovamvrosi@example.com,+7 901 852 2096,https://www.ao.info/,2024-06-15 22:39:52,0,2019,0
53,690150262012,175725621806,935218079948,947097166031,2025-06-25,2022-12-22,2024-10-13 09:33:08,81661,терапия,"РАО «Шилов, Комиссарова и Крылова»",Ефремов и партнеры,НЗНП,"ООО «Галкин, Романова и Сысоев»",KZ,0,0,1,464,0,3,0,1,27,ягода,209,0,0,0,0,0,0,1,sobolevanadezhda@example.net,+7 (336) 189-79-99,http://www.novartis.net/,2024-09-12 15:14:31,1,2017,1
54,546800566782,474098532528,156048315194,971675305089,2025-05-07,2025-10-19,2025-10-09 22:37:53,18228,расстегнуть,ООО «Третьякова-Мамонтова»,Назарова Лтд,Сибур Холдинг,Русэнергоресурс,KG,0,0,1,258,1,3,0,3,580,монета,442,0,1,1,1,1,1,1,miron91@example.org,+7 (208) 262-4328,http://veselova.ru/,2025-06-28 22:07:45,0,2015,1
55,222307215668,512000633729,161938851053,985149380168,2025-07-01,2024-03-31,2023-06-02 22:54:57,60817,горький,ТМК,ОАО «Емельянова»,АО «Шашкова Сергеева»,"НПО «Ефимов, Беляев и Мишина»",UZ,0,1,0,936,0,3,1,2,94,проход,749,0,1,1,1,0,0,0,julian20@example.com,+7 437 772 4363,https://rao.edu/,2025-02-03 19:09:28,0,2006,1
56,368596261436,144237519759,962838678394,600504053351,2025-06-16,2025-10-02,2024-07-09 08:39:40,37003,художественный,"РАО «Орлова, Бирюкова и Горбачев»",Тетерина Групп,ВСК,Копылов и партнеры,RU,1,1,1,454,0,3,0,3,494,мера,777,0,0,0,1,0,0,1,ruben_86@example.com,8 (380) 392-22-54,https://www.sds-ugol.net/,2023-07-24 16:33:18,1,2010,1
57,152210289011,653232200635,105952244618,965804429893,2024-05-03,2024-09-27,2025-06-14 08:48:27,85852,дьявол,Панфилова Инкорпорэйтед,"ООО «Якушев, Пестов и Панфилов»",АО «Жуков Якушева»,Объединенная энергетическая компания,UZ,0,0,1,437,1,3,0,1,520,скользить,263,0,1,1,1,0,0,0,sitnikovaksenija@example.net,+7 (753) 422-9341,https://oao.net/,2025-02-28 03:04:27,1,2016,1
58,298592302690,354025195660,316530857293,108150817845,2025-09-21,2025-02-25,2023-03-01 21:24:48,62238,да,"РАО «Авдеева, Гурьева и Уваров»",ЗАО «Игнатьев-Моисеева»,ОАО «Кудряшова Бобылева»,"АО «Щукин, Устинова и Колобов»",RU,0,0,1,995,1,3,0,2,202,виднеться,591,0,0,1,1,1,0,0,leontifadeev@example.net,8 (957) 205-91-21,http://www.tmk.org/,2024-12-25 23:20:12,0,2021,1
59,751065032652,946278894099,370614590372,988131582624,2025-04-30,2025-07-25,2023-05-01 08:18:28,30510,господь,ООО «Ситникова Кулагин»,"АО «Герасимов, Колобова и Шубин»",Смирнов Инкорпорэйтед,АО «Григорьев Щукина»,KZ,1,0,1,217,0,3,0,1,726,каюта,57,1,0,0,1,0,1,0,eliseevustin@example.org,85550501536,https://www.teterina.com/,2023-12-27 20:32:59,0,2012,0
60,384225498130,758745506559,575262129699,966715775737,2023-04-01,2024-10-07,2024-01-07 00:14:13,20845,освободить,Импэкснефтехим,ИП «Силина»,Князева и партнеры,Матвеева и партнеры,RU,1,0,0,585,0,3,0,2,682,дрогнуть,925,1,0,1,1,1,0,0,feoktistnazarov@example.net,+7 370 862 74 52,http://ooo.ru/,2025-03-21 13:15:23,0,2005,1
61,195916931483,202034701765,909498408457,709053369245,2025-04-15,2024-02-18,2023-07-17 17:50:00,34857,желание,Никонова Инкорпорэйтед,АО «Трофимова»,ООО «Яковлев-Рыбакова»,"ЗАО «Шестакова, Марков и Мясников»",RU,0,1,1,346,1,3,1,2,185,рота,449,0,1,0,1,0,0,1,jakovlevpanfil@example.net,84734104948,https://oao.org/,2023-07-23 07:52:57,0,2021,0
62,770332652000,351985752495,652713694610,334326326263,2024-05-15,2025-03-11,2025-05-27 13:13:12,22034,настать,АО «Калинина Родионов»,Маслова Инк,ОАО «Павлова Ковалева»,АО «Суворов Бирюков»,KG,0,1,1,417,0,3,1,2,241,товар,305,1,0,0,1,1,0,1,milenbolshakov@example.com,8 (712) 807-93-47,https://rao.org/,2024-08-15 13:38:51,0,2003,1
63,439781386052,821716750772,555139448084,632824973264,2023-12-15,2025-04-01,2025-11-14 17:02:39,87701,около,Nordgold,"ИП «Кошелева, Бирюкова и Макарова»",НПФ Газфонд пенсионные накопления,НПО «Горбачева Макаров»,KG,1,0,0,823,1,3,0,2,35,обида,878,1,1,1,1,0,1,1,ernest_2014@example.net,+7 254 136 8300,http://www.sazonova.edu/,2024-05-14 15:09:40,1,2021,1
64,236615820415,924384719463,405095608464,212097084913,2025-06-12,2022-12-20,2025-04-18 13:02:10,86192,тесно,ДК Рус,ИП «Карпова-Брагина»,ООО «Беляева»,Макарова Лимитед,KG,0,1,1,228,0,3,0,2,97,ложиться,657,0,1,1,0,0,1,1,moiseevvladislav@example.org,8 (616) 729-1930,http://blinov.net/,2024-03-12 20:10:52,1,2008,0
65,559892389474,452191610950,560616648320,598037057105,2023-09-19,2025-01-19,2024-11-19 03:15:02,44290,грустный,РАО «Вишнякова Владимиров»,Алексеев Групп,РАО «Устинова Лобанова»,ОАО «Кузнецова Орлова»,KZ,0,0,0,244,1,3,1,1,697,головной,805,1,1,1,1,0,1,0,jan_1987@example.org,+7 (739) 793-18-30,http://www.zao.net/,2023-01-26 00:14:34,0,2014,0
66,470166434307,677159146235,535752702727,517426601307,2025-08-08,2023-01-21,2025-06-28 10:27:37,66167,пища,АО «Елисеева Носов»,НПО «Воронов-Филиппова»,"ООО «Назарова, Зайцев и Жукова»","АО «Соколова, Фомин и Лазарев»",KG,0,0,0,843,0,3,1,3,367,столетие,98,0,0,0,0,1,0,0,krilovamilitsa@example.com,+7 (423) 207-59-81,http://kiseleva.com/,2023-03-11 17:23:17,0,2000,0
